Graphic,Enum,Specification,APP-06 code,identifier1,identifier2,countryCodes,additionalInfo,hostility,status,dtg1,dtg2,echelon,direction,mineType,mobility,terrain,altitude1,altitude2,width,length,radius,grids,weapon,rangeFan
"pursuit",Pursuit,"FM 1-02.2 + APP-06",344000,,,,,Y,,,,,,,,,,,,,,,,
"radiation dose rate contour line",RadiationDoseRateContourLine,"FM 1-02.2 + APP-06",272200,Y,,,,Y,,,,,,,,,,,,,,,,
"radiological contaminated area",RadiologicalContaminatedArea,"APP-06",272000,,,,,,,,,,,,,,,,,,,,,
"radiological contaminated area, toxic industrial material",RadiologicalContaminatedAreaToxicIndustrialMaterial,"APP-06",272001,,,,,,,,,,,,,,,,,,,,,
"raft site",RaftSite,"APP-06",290800,,,,,Y,,,,,,,,,,,,,,,,
"rearward passage of lines",RearwardPassageOfLines,"FM 1-02.2 + APP-06",344200,,,,,Y,,,,,,,,,,,,,,,,
"recover",Recover,"APP-06",344600,,,,,,,,,,,,,,,,,,,,,
"refugee holding area",RefugeeHoldingArea,"FM 1-02.2 + APP-06",310400,Y,,,,Y,Y,,,,,,,,,,,,,,,
"regimental support area",RegimentalSupportArea,"APP-06",310500,Y,,,,Y,Y,,,,,,,,,,,,,,,
"release line",ReleaseLine,"FM 1-02.2 + APP-06",141600,Y,,,,Y,Y,,,,,,,,,,,,,,,
"relief in place",ReliefInPlace,"FM 1-02.2 + APP-06",341900,,,,,Y,,,,,,,,,,,,,,,,
"restricted operations zone",RestrictedOperationsZone,"FM 1-02.2 + APP-06",171000,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"restricted terrain",RestrictedTerrain,"APP-06",152400,,,,Y,,,,,,,,Y,Y,,,,,,,,
"restrictive fire area circular",RestrictiveFireAreaCircular,"FM 1-02.2 + APP-06",240403,Y,,,,Y,Y,Y,Y,,,,,,,,,,Y,,,
"restrictive fire area irregular",RestrictiveFireAreaIrregular,"FM 1-02.2 + APP-06",240401,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"restrictive fire area rectangular",RestrictiveFireAreaRectangular,"FM 1-02.2 + APP-06",240402,Y,,,,Y,Y,Y,Y,,,,,,,,Y,,,,,
"restrictive fire line",RestrictiveFireLine,"FM 1-02.2 + APP-06",260500,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"retain",Retain,"FM 1-02.2 + APP-06",151205,,,,,,,,,,,,,,,,,,Y,,,
"retirement",Retirement,"FM 1-02.2 + APP-06",342000,,,,,Y,,,,,,,,,,,,,,,,
"Roadblock Complete (Executed)",RoadblockCompleteExecuted,"FM 1-02.2 + APP-06",271204,,,,,Y,,,,,,,,,,,,,,,,
"route",Route,"FM 1-02.2 + APP-06",330500,Y,,,,Y,Y,,,,Y,,,,,,,,,,,
"safe lane",SafeLane,"FM 1-02.2 + APP-06",170400,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"screen",Screen,"FM 1-02.2 + APP-06",342203,,,,,Y,,,,,,,,,,,,,,,,
"secure",Secure,"FM 1-02.2 + APP-06",342100,,,,,,,,,,,,,,,,,,Y,,,
"seize",Seize,"FM 1-02.2 + APP-06",342300,,,,,,,,,,,,,,,,,,,,,
"severely restricted terrain",SeverelyRestrictedTerrain,"APP-06",152500,,,,Y,,,,,,,,Y,Y,,,,,,,,
"short range air defense engagement zone",ShortRangeAirDefenseEngagementZone,"FM 1-02.2 + APP-06",171900,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"smoke obscurant",SmokeObscurant,"FM 1-02.2 + APP-06",240806,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"special corridor",SpecialCorridor,"FM 1-02.2 + APP-06",170700,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"standard use Army aircraft flight route",StandardUseArmyAircraftFlightRoute,"FM 1-02.2 + APP-06",170500,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"strong point",StrongPoint,"FM 1-02.2 + APP-06",151203,Y,,,,Y,,,,Y,,,,,,,,,,,,
"submarine action area",SubmarineActionArea,"APP-06",150502,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"submarine-generated action area",SubmarineGeneratedActionArea,"APP-06",150503,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"support by fire",SupportByFire,"FM 1-02.2 + APP-06",152100,,,,,,,,,,,,,,,,,,,,,
"supporting axis of advance",SupportingAxisOfAdvance,"FM 1-02.2 + APP-06",151404,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"suppress",Suppress,"FM 1-02.2 + APP-06",342800,,,,,,,,,,,,,,,,,,,,,
"target area circular",TargetAreaCircular,"FM 1-02.2 + APP-06",240803,Y,,,,Y,,,,,,,,,,,,,Y,,,
"target area irregular",TargetAreaIrregular,"FM 1-02.2 + APP-06",240801,Y,,,,Y,,,,,,,,,,,,,,,,
"target area of interest",TargetAreaOfInterest,"FM 1-02.2 + APP-06",120300,Y,,,,Y,Y,,,,,,,,,,,,,,,
"target area rectangular",TargetAreaRectangular,"FM 1-02.2 + APP-06",240802,Y,,,,Y,,,,,,,,,,,Y,Y,,,,
"target build up area circular",TargetBuildUpAreaCircular,"APP-06",241703,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"target build up area irregular",TargetBuildUpAreaIrregular,"APP-06",241701,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"target build up area rectangular",TargetBuildUpAreaRectangular,"APP-06",241702,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"target value area circular",TargetValueAreaCircular,"APP-06",241803,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"target value area irregular",TargetValueAreaIrregular,"APP-06",241801,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"target value area rectangular",TargetValueAreaRectangular,"APP-06",241802,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"terminally guided munition footprint",TerminallyGuidedMunitionFootprint,"APP-06",242000,Y,,,,Y,Y,,,,,,,,,,,,,,,
"transit corridor",TransitCorridor,"FM 1-02.2 + APP-06",170600,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"trip wire",TripWire,"APP-06",290500,,,,,Y,,,,,,,,,,,,,,,,
"turn",TacticalTurn,"FM 1-02.2 + APP-06",344700,,,,,,,,,,,,,,,,,,,,,
"turn",Turn,"FM 1-02.2 + APP-06",270504,,,,,,,,,,,,,,,,,,,,,
"turning movement",TurningMovement,"FM 1-02.2 + APP-06",152900,,,,,Y,,,,,,,,,,,,,,,,
"unexploded explosive ordnance (UXO) area",UnexplodedExplosiveOrdnanceArea,"FM 1-02.2 + APP-06",271000,Y,,,,Y,,,,,,,,,,,,,,,,
"unmanned aircraft (UA) corridor",UnmannedAircraftCorridor,"FM 1-02.2",,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"unmanned aircraft restricted operations zone",UnmannedAircraftRestrictedOperationsZone,"FM 1-02.2 + APP-06",171200,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"weapon engagement zone",WeaponEngagementZone,"FM 1-02.2 + APP-06",171300,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"weapon sensor range fan circular",WeaponSensorRangeFanCircular,"FM 1-02.2 + APP-06",242100,,,,,Y,,,,,,,,,,,,,Y,,,Y
"weapon sensor range fan sector",WeaponSensorRangeFanSector,"FM 1-02.2 + APP-06",242200,,,,,Y,,,,,,,,,,,,,Y,,,Y
"weapons free zone",WeaponsFreeZone,"FM 1-02.2 + APP-06",172000,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"Wire, Double Apron Fence",WireDoubleApronFence,"FM 1-02.2 + APP-06",290304,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Double Fence",WireDoubleFence,"FM 1-02.2 + APP-06",290303,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Double Strand Concertina",WireDoubleStrandConcertina,"FM 1-02.2 + APP-06",290308,,,,,Y,,,,,,,,,,,,,,,,
"Wire, High Wire Fence",WireHighWireFence,"FM 1-02.2 + APP-06",290306,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Low Wire Fence",WireLowWireFence,"FM 1-02.2 + APP-06",290305,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Single Concertina",WireSingleConcertina,"FM 1-02.2 + APP-06",290307,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Single Fence",WireSingleFence,"FM 1-02.2 + APP-06",290302,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Triple Strand Concertina",WireTripleStrandConcertina,"FM 1-02.2 + APP-06",290309,,,,,Y,,,,,,,,,,,,,,,,
"Wire, Unspecified",WireUnspecified,"FM 1-02.2 + APP-06",290301,,,,,Y,,,,,,,,,,,,,,,,
"withdraw",Withdraw,"FM 1-02.2 + APP-06",342400,,,,,Y,,,,,,,,,,,,,,,,
"withdraw under pressure",WithdrawUnderPressure,"FM 1-02.2 + APP-06",342500,,,,,Y,,,,,,,,,,,,,,,,
"zone of fire",ZoneOfFire,"APP-06",242600,Y,,,,Y,,,,,,,,,,,,,,,,
"zone of responsibility circular",ZoneOfResponsibilityCircular,"APP-06",241903,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"zone of responsibility irregular",ZoneOfResponsibilityIrregular,"APP-06",241901,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"zone of responsibility rectangular",ZoneOfResponsibilityRectangular,"APP-06",241902,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
